<<<<<<< HEAD
Dataset,Model,Accuracy,AUC
IBM,Logistic_Regression,0.7891,0.7781
IBM,Decision_Tree,0.8231,0.5498
IBM,Random_Forest,0.8915,0.795
IBM,AdaBoost,0.8707,0.7777
IBM,Gradient_Boosting,0.8741,0.7887
IBM,XGBoost,0.8878,0.789
IBM,SVM,0.8673,0.7779
KaggleHR,Logistic_Regression,0.6713,0.7342
KaggleHR,Decision_Tree,0.9493,0.9685
KaggleHR,Random_Forest,0.9587,0.982
KaggleHR,AdaBoost,0.8783,0.9413
KaggleHR,Gradient_Boosting,0.944,0.9771
KaggleHR,XGBoost,0.949,0.98
KaggleHR,SVM,0.9047,0.9433
EmployeeChurn,Logistic_Regression,0.518,0.5171
EmployeeChurn,Decision_Tree,0.752,0.4868
EmployeeChurn,Random_Forest,0.8125,0.521
EmployeeChurn,AdaBoost,0.6715,0.4913
EmployeeChurn,Gradient_Boosting,0.802,0.5094
EmployeeChurn,XGBoost,0.8,0.5048
EmployeeChurn,SVM,0.6955,0.5039
=======
Dataset,Model,Accuracy,Precision,Recall,F1-Score
IBM,Logistic Regression,0.7815126050420168,0.7611336032388664,0.8068669527896996,0.7833333333333333
IBM,Decision Tree,0.8697478991596639,0.8766519823788547,0.8540772532188842,0.8652173913043478
IBM,Random Forest,0.9390756302521008,0.9594594594594594,0.9141630901287554,0.9362637362637363
IBM,AdaBoost,0.8739495798319328,0.871244635193133,0.871244635193133,0.871244635193133
IBM,Gradient Boosting,0.9285714285714286,0.954337899543379,0.8969957081545065,0.9247787610619469
IBM,XGBoost,0.9432773109243697,0.9681818181818181,0.9141630901287554,0.9403973509933775
IBM,SVM,0.9117647058823529,0.9063829787234042,0.9141630901287554,0.9102564102564102
KaggleHR,Logistic Regression,0.7253456221198157,0.6923707957342083,0.7924882629107981,0.7390542907180385
KaggleHR,Decision Tree,0.9658986175115207,0.9605018587360595,0.9704225352112676,0.9654367118169079
KaggleHR,Random Forest,0.9753456221198157,0.969809568044589,0.9802816901408451,0.9750175110903573
KaggleHR,AdaBoost,0.8926267281105991,0.8687943262411347,0.92018779342723,0.8937528499772002
KaggleHR,Gradient Boosting,0.9536866359447005,0.9504904250350303,0.9553990610328639,0.9529384219152424
KaggleHR,XGBoost,0.9730414746543778,0.9683573755234993,0.9769953051643192,0.9726571628885253
KaggleHR,SVM,0.9352534562211982,0.9298000929800093,0.9389671361502347,0.934361130576968
EmployeeChurn,Logistic Regression,0.532555879494655,0.5235798499464094,0.6381450032658393,0.5752134236090668
EmployeeChurn,Decision Tree,0.7696793002915452,0.757537688442211,0.7877204441541477,0.7723342939481268
EmployeeChurn,Random Forest,0.9041140265630061,0.9975825946817083,0.8086218158066623,0.8932178932178932
EmployeeChurn,AdaBoost,0.7560738581146744,0.7593333333333333,0.743958197256695,0.7515671395579017
EmployeeChurn,Gradient Boosting,0.8704243602202786,0.9982378854625551,0.7400391900718485,0.8499624906226556
EmployeeChurn,XGBoost,0.8781988986070619,0.9646017699115044,0.78314826910516,0.8644556596971882
EmployeeChurn,SVM,0.786524133462909,0.7549707602339182,0.8432397126061397,0.7966676951558161
>>>>>>> b7a80df629499455e3d5a84d0ab5613e5cf1a533
